model,lr,hidden_size,batch_size,pooling,acc
bert,1e-05,128,64,avg,0.8833333333333333
bert,1e-05,128,128,avg,0.8694444444444445
bert,1e-05,128,64,max,0.8694444444444445
bert,0.0001,128,128,max,0.8638888888888889
bert,0.0001,128,64,max,0.8527777777777777
bert,1e-05,128,128,max,0.85
bert,0.0001,128,128,avg,0.8388888888888889
bert,0.0001,128,64,avg,0.8027777777777778
gated_cnn,0.001,128,128,max,0.6611111111111111
gated_cnn,0.001,128,64,avg,0.6555555555555556
gated_cnn,0.001,128,64,max,0.6416666666666667
gated_cnn,0.001,128,128,avg,0.6277777777777778
lstm,0.001,128,64,max,0.6027777777777777
lstm,0.001,128,64,avg,0.5527777777777778
lstm,0.001,128,128,max,0.5416666666666666
lstm,0.001,128,128,avg,0.5416666666666666
gated_cnn,0.0001,128,64,max,0.4527777777777778
gated_cnn,0.0001,128,128,avg,0.4111111111111111
gated_cnn,0.0001,128,64,avg,0.3527777777777778
gated_cnn,0.0001,128,128,max,0.3472222222222222
lstm,0.0001,128,64,max,0.30833333333333335
lstm,0.0001,128,64,avg,0.30833333333333335
lstm,0.0001,128,128,max,0.25
lstm,0.0001,128,128,avg,0.18333333333333332
gated_cnn,1e-05,128,64,max,0.09166666666666666
gated_cnn,1e-05,128,128,avg,0.07777777777777778
gated_cnn,1e-05,128,64,avg,0.075
lstm,1e-05,128,128,avg,0.075
bert,0.001,128,64,max,0.06944444444444445
bert,0.001,128,64,avg,0.06111111111111111
lstm,1e-05,128,128,max,0.06111111111111111
gated_cnn,1e-05,128,128,max,0.058333333333333334
lstm,1e-05,128,64,max,0.058333333333333334
bert,0.001,128,128,avg,0.05
bert,0.001,128,128,max,0.04722222222222222
lstm,1e-05,128,64,avg,0.04722222222222222
